company,industry,size,year_founded,status,follower_count,tech_stack,benefits
Volvo Group,Transportation,10k+ employees,1927,Private,379,"['reactjs', 'javascript', 'java', 'python', 'c#', 'amazon-web-services', 'azure', 'devops', 'microservices', 'node.js', 'redux', 'graphql', 'styled-components', 'express', 'docker', 'mongodb', 'oracle', 'amq', 'influxdb', 'elk', 'rpa', 'sap-erp', 'sap-fiori', 'powerbi', 'rest', 'entity-framework', 'r', 'tensorflow', 'git', '.net']","['Freedom to explore, try and create', 'Dresscode: your code!', '140 nationalities across 190 nations working together', 'Compensations that make the difference - a solid benefits package', 'More than a job, you get a career and support to achieve your goals', 'You will be surrounded with the best IT talents', 'Being cared for is an important part of our culture']"
EMBL-EBI (EMBL's European Bioinformatics Institute),"Big Data, Data Science, Life Sciences",501-1k employees,1992,Public,165,"['javascript', 'java', 'angular', 'reactjs', 'node.js', 'python', 'scala', 'spring', 'apache-spark', 'drupal', 'wordpress', 'clickhouse', 'elasticsearch', 'lucene', 'mongodb', 'mysql', 'oracle', 'postgresql-9.1', 'solr', 'amazon-web-services', 'docker', 'google-cloud-platform', 'kubernetes', 'tomcat', 'github', 'gitlab', 'servicenow', 'jenkins']","['Private Health Insurance', '30 days annual leave plus 8 bank holidays', 'Visa support and generous relocation packages', 'On-site gym plus tennis, yoga and pilates classes', 'Financial allowances for non UK residents, Families and Children', 'Free campus busses', 'Subsidised cafes on campus', 'Hybrid working arrangements', 'Twice yearly pay increases', 'On site nursery and summer holiday clubs']"
Contentful,Software Development,501-1k employees,2013,VC Funded,244,"['javascript', 'ruby', 'typescript', 'swift', 'java', 'golang', 'node.js', 'kubernetes', 'amazon-web-services', 'postgresql', 'terraform', 'mks']","['Equity', 'Remote or Hybrid working locations available.', 'Generous Time off', 'Education Budget', 'Physical Fitness Budget', 'Monthly Phone/ Internet Stipend', 'Flexible Working Times', 'Medical Insurance available in some locations', 'Employee Assistance Program', 'Fertility and Family Planning Support']"
Crossover,"Education Technology, IT Recruitment, Software Development / Engineering",1k-5k employees,2014,VC Funded,64,"['artificial-intelligence', 'ruby-on-rails', 'javascript', 'python', 'c#', 'java', 'php', 'c++', 'kubernetes', 'amazon-web-services', 'aws-lambda', 'vl', 'cloud', 'openai-api', 'azure', 'ai', 'gpt-4']","['High pay in USD', 'Only the top 1% of developers in the world', 'Work from home with a flexible schedule', 'Interesting projects where you make a real impact', 'Cutting-edge AI-forward tech stack']"
TESCO PLC,"Information Technology, Retail",1k-5k employees,1919,Public,93,"['java', 'automation', 'node.js', 'docker', 'tdd', 'cicd', 'spring-boot', 'continuous-integration', 'cd', 'bdd', 'performance', 'security', 'amazon-web-services', 'azure', 'kanban', '.net', 'kotlin', 'mysql', 'automated-deployment']","['Blended approach to home and office working', 'A range of wellbeing services', 'Colleague bonus scheme']"
Sartorius,"Biotechnology, Life Sciences",10k+ employees,1870,Private,208,"['amazon-web-services', 'c', 'c#', 'c++', 'java', 'javascript', '.net', 'python', 'react', 'typescript', 'spring-boot', 'spring', 'azure-api-management', 'devops', 'sap-commerce-cloud']","['Collaboration in international project teams', 'Openness for your personal contribution, ideas and perspectives', 'Start-up culture in a corporation: agile culture & global scope', 'Flexible hours and opportunities to work remotely', 'Development and training to support your growth', 'Strong purpose: Be part of the solution in the fight against diseases', 'State-of-the art facilities and latest technology and equipment', 'Wide range of health support, e.g gym, medical check-ups', 'Regional benefits e.g. company restaurant, KiTa, bicycle & car leasing']"
Amperity,Customer Data Platform,201-500 employees,2015,Private,88,"['clojure', 'clojurescript', 'scala', 'node.js', 'apache-kafka', 'kubernetes', 'apache-spark', 'reactjs', 'python']","['Paid Time Off', 'Mentorship Program', 'Parental Leave', 'Health Insurance', 'Hybrid/Remote Work', 'Performance Bonus', 'Commuter Stipend', '401 K', 'Company Equity']"
"Jack Henry & Associates, Inc.®","Banking, Financial Technology, Software Development / Engineering",5k-10k employees,1976,Public,272,"['scala', 'go', 'ecmascript-harmony', 'docker', 'c#', 'objective-c', 'swift', 'kotlin', 'ruby', 'javascript', 'typescript', 'node.js', 'web', 'oauth', 'openid-connect', 'hugo', 'swagger', 'openapi', 'git', 'npm', 'yarn', 'json', 'jwt', 'confluent', 'kafka', 'tsql', 'visual-studio', 'sql-server', 'postgresql', 'kubernetes', 'prometheus', 'redis', 'android-3.0-honeycomb', 'datadog', 'cosmos']","['Flexible Work Hours', 'Remote Work Opportunities', 'Competitive Salaries', 'Employee Stock Purchase Plan (ESPP)', 'Awesome Health Insurance', 'Excellent PTO & Paid Holidays', 'Casual Business Attire', 'Paid Parental Leave', 'ComputerWorld Best Places to Work in IT', ""America's Top 100 Most Loved Workplace""]"
DISH,"Cloud Services, Information Technology, Wireless Communications",10k+ employees,1980,Public,159,"['amazon-web-services', 'azure', 'devops', 'f5', 'linux', 'sql', 'adobe-commerce', 'adobe-experience-manager', 'alm', 'ansible', 'apache', 'apache-kafka', 'api', 'apigee', 'bdd', 'c#', 'c++', 'cisco', 'aws-cloudformation', 'cloudnit', 'confluent-platform', 'docker', 'amazon-elastic-beanstalk', 'elasticsearch', 'esxi', 'fabric', 'gitlab', 'go', 'google-cloud-platform', 'influxdb', 'jakarta-ee', 'java', 'json', 'kanban', 'kubernetes', 'ian', 'unix', 'maven', 'minitest', 'mulesoft', 'mysql', 'newrelic', 'node.js', 'oauth', 'octane', 'okta', 'openai-api', 'perl', 'php', 'pyspark', 'python', 'rackspace', 'rdp', 'ready-api', 'redhat', 'redis', 'rest', 'rspec', 'ruby', 'saml', 'scala', 'scrum', 'selenium', 'shell', 'software-design', 'apache-spark', 'spring-boot', 'sql-server', 'ssh', 'swagger', 'tdd', 'terraform', 'hp-uft', 'vcenter', 'vmware', 'wan', 'xml']","['Diversity employee resource groups', 'Tuition reimbursement', 'Volunteer opportunities', 'Employee stock purchase plan', 'Promotion from within', 'Company sponsored family events', 'Family medical leave', '401(K) matching', 'Job training & conferences', 'Continuing education']"
Belden Inc.,Industrial Automation,5k-10k employees,1902,Public,86,"['opc-ua', 'node-red', 'network-security', 'c', '5g', 'linux-device-driver', 'u-boot', 'http', 'cloud', 'security', 'mpls', 'mqtt', 'machine-learning', 'c++', 'tcpip-networking', 'javascript', 'edge', 'embedded-linux', 'reactjs', 'wifi', 'artificial-intelligence', 'amazon-web-services', 'azure', 'industrial-iot', 'bitbucket', 'rest', 'jenkins', 'java', 'python', 'github']","['Employee stock purchase plan', 'Bravo recognition program for rewarding your efforts', 'Frequent learning and training opportunities', 'Talent management and pooling for your career advancement', 'Be Well events to support your health', 'Subsidized parental leave policy', 'Connect with Community: 5 extra days of paid leave for volunteer work', 'Voluntary Flex-Time program, offering additional days of flexibility', 'Commitment to sustainability, diversity, equity and inclusion', 'Hybrid work and flexible work hours, remote where feasible']"
